Rk,Player,Tm,Age,Pos,G,GS,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving 1D,Receiving Lng,Receiving R/G,Receiving Y/G,Receiving Ctch%,Receiving Y/Tgt,Rushing Att,Rushing Yds,Rushing TD,Rushing 1D,Rushing Lng,Rushing Y/A,Rushing Y/G,Rushing A/G,Total Tch,Y/Tch,Total Yds,RRTD,Fmb,key
131,Robert Woods,TEN,30,WR,17,15,91,53,527,9.9,2,31,41,3.1,31,58.20%,5.8,,,0,0,,,,,53,9.9,527,2,1,WoodRo02
132,DeAndre Carter,LAC,29,WR,17,7,65,46,538,11.7,3,29,35,2.7,31.6,70.80%,8.3,2,-15,0,0,-5,-7.5,-0.9,0.1,48,10.9,523,3,3,CartDe02
133,Dawson Knox,BUF,26,TE,15,15,65,48,517,10.8,6,25,45,3.2,34.5,73.80%,8,,,0,0,,,,,48,10.8,517,6,,KnoxDa00
134,Jahan Dotson,WAS,22,WR,12,10,61,35,523,14.9,7,26,61,2.9,43.6,57.40%,8.6,2,-7,0,0,3,-3.5,-0.6,0.2,37,13.9,516,7,,DotsJa00
135,Greg Dortch,ARI,24,WR,16,4,64,52,467,9,2,19,47,3.3,29.2,81.30%,7.3,7,44,0,3,20,6.3,2.8,0.4,59,8.7,511,2,1,DortGr01
136,Chase Claypool,2TM,24,WR,15,11,79,46,451,9.8,1,24,31,3.1,30.1,58.20%,5.7,9,59,0,3,15,6.6,3.9,0.6,55,9.3,510,1,1,ClayCh01
137,Hunter Henry,NWE,28,TE,17,14,59,41,509,12.4,2,23,39,2.4,29.9,69.50%,8.6,,,0,0,,,,,41,12.4,509,2,,HenrHu00
138,Juwan Johnson,NOR,26,TE,16,12,65,42,508,12.1,7,25,41,2.6,31.8,64.60%,7.8,,,0,0,,,,,42,12.1,508,7,,JohnJu02
139,Eno Benjamin,3TM,23,,15,3,34,25,193,7.7,0,10,22,1.7,12.9,73.50%,5.7,77,313,2,14,45,4.1,20.9,5.1,102,5,506,2,,BenjEn00
140,DJ Chark,DET,26,WR,11,10,52,30,502,16.7,3,24,51,2.7,45.6,57.70%,9.7,,,0,0,,,,,30,16.7,502,3,,CharDJ00
141,Jordan Akins,HOU,30,TE,15,3,54,37,495,13.4,5,23,46,2.5,33,68.50%,9.2,,,0,0,,,,,37,13.4,495,5,1,AkinJo00
142,Darnell Mooney,CHI,25,WR,12,12,61,40,493,12.3,2,20,56,3.3,41.1,65.60%,8.1,1,2,0,0,2,2,0.2,0.1,41,12.1,495,2,,MoonDa00
143,Zack Moss,2TM,25,RB,13,3,13,11,39,3.5,0,2,8,0.8,3,84.60%,3,93,456,1,18,43,4.9,35.1,7.2,104,4.8,495,1,1,MossZa00
144,Treylon Burks,TEN,22,WR,11,6,54,33,444,13.5,1,19,51,3,40.4,61.10%,8.2,4,47,0,3,20,11.8,4.3,0.4,37,13.3,491,1,,BurkTr00
145,Devin Duvernay,BAL,25,WR,14,13,49,37,407,11,3,19,31,2.6,29.1,75.50%,8.3,12,84,1,7,18,7,6,0.9,49,10,491,4,1,DuveDe00
146,Terrace Marshall Jr.,CAR,22,WR,14,9,47,28,490,17.5,1,24,43,2,35,59.60%,10.4,,,0,0,,,,,28,17.5,490,1,2,MarsTe00
147,Noah Fant,SEA,25,TE,17,16,63,50,486,9.7,4,24,51,2.9,28.6,79.40%,7.7,,,0,0,,,,,50,9.7,486,4,,FantNo00
148,Nico Collins,HOU,23,WR,10,7,66,37,481,13,2,21,58,3.7,48.1,56.10%,7.3,,,0,0,,,,,37,13,481,2,,CollNi00
149,Josh Reynolds,DET,27,WR,14,11,59,38,479,12.6,3,25,31,2.7,34.2,64.40%,8.1,,,0,0,,,,,38,12.6,479,3,,ReynJo00
150,Isaiah McKenzie,BUF,27,WR,15,8,65,42,423,10.1,4,27,30,2.8,28.2,64.60%,6.5,9,55,1,3,18,6.1,3.7,0.6,51,9.4,478,5,,McKeIs00
151,James Robinson,2TM,24,RB,11,5,14,11,51,4.6,2,5,10,1,4.6,78.60%,3.6,110,425,3,22,50,3.9,38.6,10,121,3.9,476,5,1,RobiJa00
152,Kendrick Bourne,NWE,27,WR,16,2,48,35,434,12.4,1,22,41,2.2,27.1,72.90%,9,6,39,0,2,29,6.5,2.4,0.4,41,11.5,473,1,2,BourKe00
153,Robert Tonyan,GNB,28,TE,17,3,67,53,470,8.9,2,20,24,3.1,27.6,79.10%,7,,,0,0,,,,,53,8.9,470,2,,TonyRo00
154,Demarcus Robinson,BAL,28,WR,17,5,75,48,458,9.5,2,23,31,2.8,26.9,64.00%,6.1,,,0,0,,,,,48,9.5,458,2,2,RobiDe01
155,Clyde Edwards-Helaire,KAN,23,RB,10,6,23,17,151,8.9,3,11,25,1.7,15.1,73.90%,6.6,71,302,3,15,52,4.3,30.2,7.1,88,5.1,453,6,,EdwaCl00
156,Chigoziem Okonkwo,TEN,23,TE,17,8,46,32,450,14.1,3,22,48,1.9,26.5,69.60%,9.8,3,2,0,0,6,0.7,0.1,0.2,35,12.9,452,3,,OkonCh00
157,Elijah Moore,NYJ,22,WR,16,9,65,37,446,12.1,1,22,42,2.3,27.9,56.90%,6.9,5,5,0,2,10,1,0.3,0.3,42,10.7,451,1,1,MoorEl00
